Domain,Concept,Label,Real,Background
general,Evolution,TRUE,TRUE,
general,Plate Tectonics,TRUE,TRUE,
general,Photosynthesis,TRUE,TRUE,
general,The Water Cycle,TRUE,TRUE,
general,Global Warming,TRUE,TRUE,
general,DNA,TRUE,TRUE,
general,Atomic,TRUE,TRUE,
general,The Laws of Thermodynamics,TRUE,TRUE,
general,Newton's Laws of Motion,TRUE,TRUE,
general,Relativity Theory,TRUE,TRUE,
general,Quantum Mechanics,TRUE,TRUE,
general,The Solar System,TRUE,TRUE,
general,The Big Bang Theory,TRUE,TRUE,
general,Black Holes,TRUE,TRUE,
general,Immunization,TRUE,TRUE,
general,Algebra,TRUE,TRUE,
general,Geometry,TRUE,TRUE,
general,Calculus,TRUE,TRUE,
general,Probability,TRUE,TRUE,
general,Statistics,TRUE,TRUE,
general,Mathematical Logic,TRUE,TRUE,
general,Set Theory,TRUE,TRUE,
general,Linear Algebra,TRUE,TRUE,
general,Critical Thinking,TRUE,TRUE,
general,Cognitive Bias,TRUE,TRUE,
general,Epistemology,TRUE,TRUE,
general,Ethics,TRUE,TRUE,
general,Existentialism,TRUE,TRUE,
general,Middle Ages,TRUE,TRUE,
general,Renaissance,TRUE,TRUE,
general,Industrial Revolution,TRUE,TRUE,
general,World War II,TRUE,TRUE,
general,Cold War,TRUE,TRUE,
general,Decolonization and Independence Movements,TRUE,TRUE,
general,Civil Rights Movement,TRUE,TRUE,
general,Globalization,TRUE,TRUE,
general,Human Rights,TRUE,TRUE,
general,Economics,TRUE,TRUE,
general,Socialism,TRUE,TRUE,
general,Capitalism,TRUE,TRUE,
general,Game Theory,TRUE,TRUE,
general,Public Policy,TRUE,TRUE,
general,Poetry,TRUE,TRUE,
general,Linguistics,TRUE,TRUE,
general,Grammar,TRUE,TRUE,
general,Semiotics,TRUE,TRUE,
general,Cognitive Linguistics,TRUE,TRUE,
general,Language Acquisition,TRUE,TRUE,
general,Computer Science,TRUE,TRUE,
general,Programming,TRUE,TRUE,
general,Algorithms,TRUE,TRUE,
general,Data Structures,TRUE,TRUE,
general,Web,TRUE,TRUE,
general,Internet,TRUE,TRUE,
